Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Continent
Afghanistan,21.48678,21.46552,21.45145,21.43822,21.42734,21.41222,21.401320000000002,21.37679,21.34018,21.29845,21.248179999999998,21.20269,21.14238,21.063760000000002,20.979870000000002,20.91132,20.85155,20.81307,20.78591,20.75469,20.69521,20.62643,20.59848,20.58706,20.57759,20.58084,20.58749,20.60246,20.62058,Asia
Albania,25.22533,25.239810000000002,25.25636,25.27176,25.27901,25.28669,25.29451,25.30217,25.3045,25.31944,25.32357,25.28452,25.23077,25.211920000000003,25.22115,25.25874,25.31097,25.339879999999997,25.39116,25.46555,25.55835,25.66701,25.77167,25.87274,25.981360000000002,26.089389999999998,26.20867,26.32753,26.44657,Europe
Algeria,22.25703,22.34745,22.43647,22.52105,22.60633,22.69501,22.76979,22.84096,22.90644,22.97931,23.046,23.113329999999998,23.18776,23.25764,23.32273,23.39526,23.46811,23.5416,23.615920000000003,23.694860000000002,23.77659,23.862560000000002,23.952939999999998,24.052429999999998,24.159570000000002,24.27001,24.3827,24.48846,24.5962,Africa
Andorra,25.666520000000002,25.708679999999998,25.74681,25.7825,25.81874,25.85236,25.89089,25.93414,25.98477,26.0445,26.109360000000002,26.17912,26.240170000000003,26.303559999999997,26.367929999999998,26.43569,26.507690000000004,26.58255,26.66337,26.75078,26.83179,26.92373,27.02525,27.124809999999997,27.231070000000003,27.32827,27.435879999999997,27.53363,27.63048,Europe
Angola,20.94876,20.94371,20.93754,20.93187,20.93569,20.94857,20.9603,20.98025,21.01375,21.05269,21.09007,21.12136,21.14987,21.13938,21.14186,21.160220000000002,21.19076,21.226210000000002,21.27082,21.31954,21.3748,21.43664,21.51765,21.599239999999998,21.69218,21.80564,21.93881,22.08962,22.25083,Africa
Antigua and Barbuda,23.314239999999998,23.390539999999998,23.45883,23.53735,23.635839999999998,23.73109,23.83449,23.93649,24.053639999999998,24.16347,24.26782,24.365679999999998,24.45644,24.540960000000002,24.60945,24.66461,24.72544,24.78714,24.84936,24.91721,24.99158,25.05857,25.13039,25.20713,25.29898,25.39965,25.513820000000003,25.64247,25.76602,North America
Argentina,25.37913,25.44951,25.50242,25.55644,25.61271,25.66593,25.72364,25.78529,25.844279999999998,25.8851,25.92482,25.991770000000002,26.076420000000002,26.17288,26.27872,26.375220000000002,26.47182,26.577779999999997,26.687140000000003,26.79005,26.88103,26.96067,26.998820000000002,27.04738,27.11001,27.18941,27.28179,27.388890000000004,27.5017,South America
Armenia,23.82469,23.86401,23.91023,23.95649,24.00181,24.04083,24.08736,24.13334,24.17219,24.19556,24.20618,24.1979,24.129820000000002,24.05854,24.02297,24.0157,24.02627,24.03885,24.070999999999998,24.116989999999998,24.18045,24.2667,24.37698,24.503320000000002,24.641779999999997,24.81447,24.9916,25.1759,25.355420000000002,Asia
Australia,24.92729,25.00216,25.0766,25.149379999999997,25.228939999999998,25.31849,25.41017,25.50528,25.60001,25.7005,25.80568,25.90295,26.00624,26.10586,26.200770000000002,26.292409999999997,26.382559999999998,26.473509999999997,26.56314,26.65506,26.74486,26.843970000000002,26.938579999999998,27.038009999999996,27.138709999999996,27.246140000000004,27.35267,27.458779999999997,27.56373,Oceania
Austria,24.840970000000002,24.8811,24.934820000000002,24.98118,25.02208,25.06015,25.1068,25.147470000000002,25.19333,25.24928,25.30882,25.37186,25.43668,25.50507,25.56626,25.61814,25.6641,25.717370000000003,25.75996,25.817729999999997,25.87471,25.93806,25.995829999999998,26.06356,26.1436,26.21107,26.293740000000003,26.381359999999997,26.467409999999997,Europe
