"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"American Samoa","Electricity - total solar production","2014","Kilowatt-hours, million","1.1","1"
"American Samoa","Electricity - total solar production","2013","Kilowatt-hours, million","1.1","1"
"American Samoa","Electricity - total solar production","2012","Kilowatt-hours, million","1.1",""
"Argentina","Electricity - total solar production","2014","Kilowatt-hours, million","16",""
"Argentina","Electricity - total solar production","2013","Kilowatt-hours, million","15",""
"Argentina","Electricity - total solar production","2012","Kilowatt-hours, million","8",""
"Argentina","Electricity - total solar production","2011","Kilowatt-hours, million","2",""
"Argentina","Electricity - total solar production","2010","Kilowatt-hours, million","0.09",""
"Argentina","Electricity - total solar production","2009","Kilowatt-hours, million","0.08",""
"Australia","Electricity - total solar production","2014","Kilowatt-hours, million","4858",""
"Australia","Electricity - total solar production","2013","Kilowatt-hours, million","3826",""
"Australia","Electricity - total solar production","2012","Kilowatt-hours, million","2559",""
"Australia","Electricity - total solar production","2011","Kilowatt-hours, million","1530",""
"Australia","Electricity - total solar production","2010","Kilowatt-hours, million","426",""
"Australia","Electricity - total solar production","2009","Kilowatt-hours, million","160",""
"Australia","Electricity - total solar production","2008","Kilowatt-hours, million","127",""
"Australia","Electricity - total solar production","2007","Kilowatt-hours, million","109",""
"Australia","Electricity - total solar production","2006","Kilowatt-hours, million","91",""
"Australia","Electricity - total solar production","2005","Kilowatt-hours, million","79",""
"Australia","Electricity - total solar production","2004","Kilowatt-hours, million","69",""
"Australia","Electricity - total solar production","2003","Kilowatt-hours, million","59",""
"Australia","Electricity - total solar production","2002","Kilowatt-hours, million","50",""
"Australia","Electricity - total solar production","2001","Kilowatt-hours, million","44",""
"Australia","Electricity - total solar production","2000","Kilowatt-hours, million","38",""
"Australia","Electricity - total solar production","1999","Kilowatt-hours, million","34",""
"Australia","Electricity - total solar production","1998","Kilowatt-hours, million","28",""
"Australia","Electricity - total solar production","1997","Kilowatt-hours, million","23",""
"Australia","Electricity - total solar production","1996","Kilowatt-hours, million","19",""
"Australia","Electricity - total solar production","1995","Kilowatt-hours, million","16",""
"Australia","Electricity - total solar production","1994","Kilowatt-hours, million","13",""
