Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Continent
Afghanistan,20.443479999999997,20.47765,20.522920000000003,20.56493,20.60867,20.64796,20.68983,20.709020000000002,20.715120000000002,20.71421,20.70504,20.70117,20.67746,20.63639,20.59074,20.5675,20.55575,20.56759,20.59306,20.61717,20.6185,20.613529999999997,20.652739999999998,20.70828,20.769270000000002,20.83858,20.91021,20.9906,21.07402,Asia
Albania,25.17427,25.19088,25.20032,25.21906,25.223589999999998,25.21257,25.20939,25.18918,25.16965,25.1537,25.13877,25.0467,24.96615,24.935579999999998,24.93562,24.93706,24.96643,24.96754,25.0022,25.06254,25.12797,25.20332,25.27082,25.331979999999998,25.398039999999998,25.46525,25.533279999999998,25.59394,25.65726,Europe
Algeria,23.67764,23.80702,23.92626,24.03604,24.1363,24.24213,24.33652,24.42523,24.50904,24.59436,24.67546,24.75504,24.8421,24.92523,24.9955,25.07258,25.15,25.22635,25.3097,25.40139,25.49389,25.59477,25.699479999999998,25.81168,25.93081,26.03886,26.15054,26.260959999999997,26.368409999999997,Africa
Andorra,25.67324,25.690179999999998,25.69922,25.70089,25.70584,25.70877,25.71239,25.72437,25.74523,25.77649,25.811989999999998,25.851679999999998,25.87593,25.896710000000002,25.918979999999998,25.939329999999998,25.96645,25.99661,26.03351,26.07432,26.10622,26.147070000000003,26.195420000000002,26.23892,26.28851,26.322470000000003,26.36846,26.40095,26.431959999999997,Europe
Angola,20.067629999999998,20.127660000000002,20.19464,20.26439,20.3411,20.42624,20.51389,20.609289999999998,20.70945,20.808729999999997,20.914,21.00432,21.08987,21.13495,21.18443,21.25985,21.36478,21.47863,21.609389999999998,21.76054,21.91293,22.07646,22.26093,22.445710000000002,22.635360000000002,22.834120000000002,23.04406,23.2633,23.48431,Africa
Antigua and Barbuda,24.22235,24.340429999999998,24.439329999999998,24.55735,24.70423,24.861929999999997,25.02937,25.18394,25.35149,25.52673,25.67301,25.81131,25.95531,26.0634,26.155079999999998,26.224079999999997,26.2935,26.3716,26.4472,26.528000000000002,26.612309999999997,26.68539,26.76278,26.847990000000003,26.96384,27.098340000000004,27.232779999999998,27.37364,27.50545,North America
Argentina,23.84436,23.96239,24.06563,24.16711,24.27477,24.38048,24.49371,24.60935,24.71734,24.816329999999997,24.91829,25.04809,25.19889,25.3555,25.51859,25.67636,25.83772,25.99866,26.16254,26.3257,26.478509999999996,26.610809999999997,26.7046,26.81386,26.932570000000002,27.061159999999997,27.19272,27.326079999999997,27.46523,South America
Armenia,25.77727,25.82968,25.89036,25.9533,26.01453,26.06321,26.12162,26.17592,26.21834,26.234809999999996,26.23227,26.20016,26.093220000000002,25.99631,25.9344,25.906779999999998,25.90632,25.93358,25.98351,26.05108,26.126739999999998,26.2254,26.33638,26.46878,26.592440000000003,26.72723,26.86115,27.00147,27.1342,Asia
Australia,23.63058,23.75943,23.88326,23.99286,24.11415,24.2452,24.36228,24.48311,24.60343,24.73402,24.86126,24.98751,25.11666,25.23869,25.35789,25.47974,25.5976,25.7167,25.8251,25.93521,26.04167,26.15183,26.25957,26.36875,26.47178,26.573109999999996,26.677459999999996,26.779190000000003,26.87777,Oceania
Austria,23.9034,23.946620000000003,23.99285,24.02724,24.06105,24.09211,24.12666,24.15578,24.18901,24.23289,24.28536,24.33975,24.38968,24.43623,24.485,24.53071,24.57773,24.61332,24.66039,24.71124,24.7543,24.79874,24.83051,24.868270000000003,24.919420000000002,24.95636,25.00599,25.050639999999998,25.09414,Europe
